END TOTAL BIKER COUNT,LATITUDE,LONGITUDE,NAME,START TOTAL BIKER COUNT
568601,38.89696,-77.00493,Columbus Circle / Union Station,546363
532968,38.9101,-77.0444,Massachusetts Ave & Dupont Circle NW,472906
423363,38.90980063,-77.03442693,15th & P St NW,386443
412223,38.888255,-77.0494365,Lincoln Memorial,415892
389092,38.8885525,-77.032427,Jefferson Dr & 14th St SW,377419
332475,38.9177645,-77.032096,14th & V St NW,303592
314061,38.915544,-77.038252,New Hampshire Ave & T St NW,320966
291993,38.9121,-77.0387,17th & Corcoran St NW,280874
290655,38.88426009,-76.9947356,Eastern Market Metro / Pennsylvania Ave & 7th St SE,296517
282878,38.9059,-77.0325,Thomas Circle,301900
279919,38.8997,-77.023086,8th & H St NW,243942
273272,38.888774,-77.028694,Smithsonian-National Mall / Jefferson Dr & 12th St SW,263996
265535,38.9086,-77.0323,14th & Rhode Island Ave NW,251931
257583,38.90304,-77.019027,5th & K St NW,245188
257010,38.879819,-77.037413,Jefferson Memorial,251793
256501,38.905697,-77.005483,1st & M St NE,248090
242778,38.897446,-77.009888,North Capitol St & F St NW,231573
240552,38.913046,-77.032008,14th & R St NW,221354
237637,38.89728305,-77.02219069,7th & F St NW / National Portrait Gallery,212239
230282,38.90571079,-77.04731762,21st & M St NW,211530
229103,38.9154,-77.0446,20th St & Florida Ave NW,230922
219786,38.898364,-77.027869,Metro Center / 12th & G St NW,193520
216322,38.89903234,-77.03335404,New York Ave & 15th St NW,205507
215568,38.905126,-77.056887,M St & Pennsylvania Ave NW,175568
214218,38.90276,-77.03863,17th & K St NW,192877
212523,38.876697,-77.0178975,4th & M St SW,189186
206170,38.88637194,-77.01770067,4th & C St SW,184833
204774,38.922925,-77.042581,Adams Mill & Columbia Rd NW,241147
201342,38.902314,-77.0591415,Georgetown Harbor / 30th St NW,137740
197007,38.903827,-77.053485,25th St & Pennsylvania Ave NW,186144
190082,38.90375,-77.06269,C & O Canal & Wisconsin Ave NW,144615
189825,38.902061,-77.038322,17th & K St NW / Farragut Square,153020
186081,38.893028,-77.026013,10th St & Constitution Ave NW,162287
186060,38.90071063,-77.04644859,21st & I St NW,158458
182929,38.9155,-77.0222,7th & T St NW,174487
182067,38.894514,-77.031617,14th & D St NW / Ronald Reagan Building,156836
178445,38.9059957,-77.03980207,Rhode Island & Connecticut Ave NW,164622
177548,38.905737,-77.02227,Convention Center / 7th & M St NW,185765
175316,38.900412,-77.001949,3rd & H St NE,165219
173376,38.900283,-77.029822,13th St & New York Ave NW,132282
169419,38.90093,-77.018677,5th St & Massachusetts Ave NW,167062
168480,38.90088,-77.048911,22nd & I St NW / Foggy Bottom,168159
167462,38.908905,-77.04478,20th & O St NW / Dupont South,155829
166860,38.90506687,-77.04177886,18th & M St NW,153956
165493,38.892275,-77.013917,Constitution Ave & 2nd St NW/DOL,159505
164191,38.9055785,-77.027313,11th & M St NW,174640
164042,38.898409,-77.032278,14th & G St NW,153951
163506,38.886266,-77.022241,L'Enfant Plaza / 7th & C St SW,159263
161533,38.917761,-77.04062,California St & Florida Ave NW,151237
159790,38.890461,-76.988355,Lincoln Park / 13th & East Capitol St NE ,174194
157486,38.9172,-77.0259,10th & U St NW,155339
157000,,,,138604
156994,38.897315,-77.070993,Lynn & 19th St North,114897
154335,38.890539,-77.049383,Henry Bacon Dr & Lincoln Memorial Circle NW,154338
153428,38.87885438,-77.00572729,1st & K St SE,140381
153330,38.88412,-77.017445,4th & E St SW,136049
153033,38.908142,-77.038359,17th St & Massachusetts Ave NW,152665
152696,38.9308,-77.0315,Park Rd & Holmead Pl NW,190927
152686,38.897222,-77.019347,5th & F St NW,139577
151344,38.899972,-76.998347,6th & H St NE,134886
150335,38.8904955,-77.0172465,4th St & Madison Dr NW,150625
150087,38.912719,-77.022155,7th & R St NW / Shaw Library,149715
149094,38.88627695,-77.02824175,USDA / 12th & Independence Ave SW,140731
147104,38.90546971,-77.00213045,3rd & M St NE,136569
143147,38.8923,-77.0436,19th St & Constitution Ave NW,136890
141585,38.88412,-77.04657,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,140536
141122,38.886952,-76.996806,Eastern Market / 7th & North Carolina Ave SE,146550
141045,38.90042674,-76.98825002,13th & H St NE,127706
140432,38.889955,-77.000349,4th & East Capitol St NE,146999
139551,38.916787,-77.028139,12th & U St NW,131997
134613,38.886978,-77.013769,Washington & Independence Ave SW/HHS,119517
131345,38.9126,-77.0135,Florida Ave & R St NW,132968
130591,38.89828295,-77.03973234,17th & G St NW,118840
130452,38.915417,-77.012289,1st & Rhode Island Ave NW,128726
128363,38.89968,-77.041539,18th St & Pennsylvania Ave NW,129457
127187,38.90864,-77.02277,8th & O St NW,124421
126665,38.9024,-77.02622,10th & K St NW,129579
126442,38.9319,-77.0388,Lamont & Mt Pleasant NW,162576
124968,38.899632,-77.031686,14th St & New York Ave NW,118641
124397,38.8963,-77.045,20th & E St NW,119984
122181,38.918809,-77.041571,18th St & Wyoming Ave NW,140533
121949,38.895914,-77.026064,10th & E St NW,108123
121134,38.929464,-77.027822,11th & Kenyon St NW,162940
120472,38.8851,-77.0023,3rd & D St SE,123092
120447,38.894573,-77.01994,6th St & Indiana Ave NW,109316
119727,38.894832,-76.987633,13th & D St NE,124846
118967,38.903819,-77.0284,12th & L St NW,123816
117604,38.90774,-77.071652,37th & O St NW / Georgetown University,120907
115043,38.899408,-77.015289,3rd & H St NW,115221
114879,38.894851,-77.02324,8th & D St NW,102978
112962,38.92612422,-77.03542069,16th & Harvard St NW,216467
112568,38.8763,-77.0037,M St & New Jersey Ave SE,89364
112462,38.923583,-77.050046,Calvert St & Woodley Pl NW,120914
112355,38.90374145,-77.0424521,19th & L St NW,108074
111587,38.9066,-77.05152,24th & N St NW,101884
110724,38.912648,-77.041834,18th & R St NW,108035
110346,38.902,-77.03353,15th & K St NW,105877
108876,38.89484064,-76.99591577,D St & Maryland Ave NE,118273
107983,38.887378,-77.001955,3rd St & Pennsylvania Ave SE,117996
107092,38.888097,-77.038325,17th St & Independence Ave SW,108097
106827,38.921074,-77.031887,14th & Belmont St NW,116975
104641,38.901755,-77.051084,New Hampshire Ave & 24th St NW,97612
101089,38.8786936,-77.02305436,Maine Ave & 7th St SW,82173
99349,38.899983,-76.991383,11th & H St NE,86879
97696,38.9268,-77.0322,14th & Harvard St NW,150053
94553,38.9003,-77.0429,19th St & Pennsylvania Ave NW,100195
94482,38.9037315,-77.0675285,34th & Water St NW,66989
93317,38.8803,-76.9862,Potomac & Pennsylvania Ave SE,94085
91891,38.894919,-77.046587,US Dept of State / Virginia Ave & 21st St NW,90127
91888,38.87501,-77.0024,3rd & Tingey St SE,75240
91427,38.93668393,-77.02418089,Georgia & New Hampshire Ave NW,117544
88915,38.881185,-77.001828,3rd & G St SE,90863
88818,38.90849,-77.063586,Wisconsin Ave & O St NW,80696
87600,38.897857,-77.026975,11th & F St NW,81487
82952,38.923203,-77.047637,Calvert & Biltmore St NW,107995
82344,38.892244,-77.033234,15th St & Constitution Ave NW,76019
81920,38.910972,-77.00495,Eckington Pl & Q St NE,88036
81177,38.8946,-77.072305,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,57519
80370,38.895344,-77.016106,4th & D St NW / Judiciary Square,82513
79960,38.903649,-77.034918,15th & L St NW,79488
79822,38.896104,-77.049882,23rd & E St NW ,81197
79500,38.901539,-77.046564,21st St & Pennsylvania Ave NW,79234
78485,38.897274,-76.994749,8th & F St NE,75323
78472,38.920669,-77.04368,Columbia Rd & Belmont St NW,125206
78399,38.88291548,-76.98790669,14th & D St SE,79253
77291,38.8743,-77.0057,1st & N St  SE,61360
77128,38.903584,-77.044789,20th & L St NW,76979
76190,38.902204,-77.04337,19th & K St NW,77339
75094,38.912659,-77.017669,New Jersey Ave & R St NW,77099
74641,38.89824329,-77.02623546,10th & G St NW,63442
73309,38.92333,-77.0352,15th & Euclid St  NW,109486
72980,38.85740496,-77.05113173,Crystal City Metro / 18th & Bell St,91564
72568,38.9375,-77.0328,14th St & Spring Rd NW,92643
71049,38.9190185,-77.034449,15th & W St NW,67306
70373,38.928552,-77.032224,14th & Irving St NW,113625
70039,38.892459,-77.046567,21st St & Constitution Ave NW,74090
69586,38.88732,-76.983569,15th St & Massachusetts Ave SE,72359
68687,38.89967,-77.003666,2nd & G St NE,65088
67167,38.900358,-77.012108,1st & H St NW,65258
66586,38.905303,-77.050264,23rd & M St NW,58044
66084,38.897293,-77.05557,Kennedy Center,57805
65935,38.917622,-77.01597,3rd & Elm St NW,68684
65899,38.913761,-77.027025,11th & S St NW,66149
64394,38.909394,-77.048728,22nd & P ST NW,59343
63946,38.894972,-77.003135,2nd St & Massachusetts Ave NE,67968
63748,38.88992,-77.071301,Iwo Jima Memorial/N Meade & 14th St N,54194
63466,38.8792,-76.9953,8th & Eye St SE / Barracks Row,62125
63144,38.92812111,-77.02379465,Columbia Rd & Georgia Ave NW,93283
62101,38.934267,-77.057979,Connecticut Ave & Newark St NW / Cleveland Park,69705
61074,38.90733256,-77.01536044,New Jersey Ave & N St NW/Dunbar HS,67919
60578,38.90843,-77.02714,11th & O St NW,63659
60565,38.899703,-77.008911,North Capitol St & G Pl NE,59453
60298,38.889988,-76.995193,8th & East Capitol St NE,67082
58476,38.887312,-77.025762,Independence Ave & L'Enfant Plaza SW/DOE,57588
58100,38.903658,-77.031737,14th & L St NW,58985
57686,38.920387,-77.025672,10th & Florida Ave NW,59981
56695,38.912652,-77.036278,16th & R St NW,54120
55871,38.856425,-77.049232,20th & Crystal Dr,49733
55296,38.89646475,-77.03338087,15th St & Pennsylvania Ave NW/Pershing Park,49541
53977,38.852929,-77.049723,23rd & Crystal Dr,46405
53960,38.900413,-76.982872,Bladensburg Rd & Benning Rd NE,48239
53935,38.881044,-77.111768,Ballston Metro / N Stuart & 9th St N,62207
53922,38.898412,-77.043182,19th & G St NW,54677
52790,38.905368,-77.065149,Potomac & M St NW,41125
52319,38.916442,-77.0682,34th St & Wisconsin Ave NW,64570
52285,38.862303,-77.059936,Pentagon City Metro / 12th & S Hayes St,50610
52277,38.897195,-76.983575,15th & F St NE,50142
52255,38.889908,-76.983326,15th & East Capitol St NE,55993
52140,38.8952,-77.0436,19th & E Street NW,53294
51936,38.944551,-77.063896,Van Ness Metro / UDC,56600
50891,38.8896,-76.9769,19th & East Capitol St SE,50295
50614,38.930282,-77.055599,3000 Connecticut Ave NW / National Zoo,68864
50397,38.905424,-77.034674,15th & M St NW,51018
50112,38.90113645,-77.03445107,Vermont Ave & I St NW,44668
48105,38.814577,-77.052808,Braddock Rd Metro,56836
47942,38.912644,-77.04564,Connecticut Ave & R St NW,45111
47345,38.88044,-77.025236,Maine Ave & 9th St SW,41825
47114,38.884916,-77.005965,1st & D St SE,48346
46998,38.878433,-77.03023,Hains Point/Buckeye & Ohio Dr SW,45198
46881,38.907908,-76.99707,Union Market/6th St & Neal Pl NE,44304
46320,38.848466,-77.051514,27th & Crystal Dr,42029
46237,38.908643,-77.012365,1st & O St NW,48260
45957,38.882788,-77.103148,Virginia Square Metro / N Monroe St & 9th St N,52957
44919,38.934881,-77.072755,Wisconsin Ave & Newark St NW,75250
43867,38.902826,-77.060173,31st & Water St NW,28916
43406,38.9418,-77.0251,9th & Upshur St NW,54743
43384,38.804718,-77.043363,Market Square / King St & Royal St,37314
42990,38.919077,-77.000648,4th & W St NE,44228
42688,38.90509,-76.9941,Gallaudet / 8th St & Florida Ave NE,44889
42122,38.861056,-77.049417,15th & Crystal Dr,41071
41642,38.89622604,-76.99278563,Maryland Ave & E St NE,45958
41109,38.927872,-77.043358,Harvard St & Adams Mill Rd NW,39415
40453,38.8426,-77.0502,S Glebe & Potomac Ave,35861
40205,38.890612,-77.084801,Court House Metro / 15th & N Uhle St ,55357
39344,38.893438,-77.076389,Clarendon Blvd & Pierce St,42768
39280,38.947607,-77.079382,Tenleytown / Wisconsin Ave & Albemarle St NW,73705
39240,38.8637,-77.0633,S Joyce & Army Navy Dr,36230
38902,38.925636,-77.027112,11th & Girard St NW,48617
38836,38.88701008,-77.09525675,Clarendon Metro / Wilson Blvd & N Highland St,50934
38194,38.803124,-77.040363,Prince St & Union St,25819
37691,38.894722,-77.045128,20th St & Virginia Ave NW,35512
36819,38.924088,-77.040787,Columbia & Ontario Rd NW,52299
35064,38.9249,-77.0222,Georgia Ave and Fairmont St NW,49108
34213,38.891696,-77.0846,Wilson Blvd & N Uhle St,52879
33599,38.903732,-76.987211,Neal St & Trinidad Ave NE,37378
32194,38.975219,-77.016855,Takoma Metro,39028
32059,,,,31050
31823,38.893511,-77.041544,18th & C St NW,31118
31695,38.880012,-77.107854,Wilson Blvd & N Quincy St,37637
29388,38.89892547,-77.04885238,22nd & H St NW,28880
29242,38.922581,-77.070334,36th & Calvert St NW / Glover Park,50072
28665,38.90240557,-77.01600552,New Jersey Ave & L St NW,30350
28462,38.928893,-77.03625,16th & Irving St NW,44167
27968,38.892441,-77.048947,22nd St & Constitution Ave NW,29942
27935,38.911268,-77.041829,18th & New Hampshire Ave NW,28283
27222,38.885801,-77.097745,Fairfax Dr & Wilson Blvd,31539
27165,38.920682,-76.995876,Rhode Island Ave Metro,27242
26995,38.955016,-77.069956,Connecticut & Nebraska Ave NW,35494
26814,38.932514,-76.992889,10th & Monroe St NE,32692
26781,38.80576285,-77.06062675,King St Metro South,35896
26518,38.89593,-77.089006,Lee Hwy & N Adams St,38334
26423,38.85438052,-77.0534116,Eads & 22nd St S,25056
26238,38.865029,-77.039511,S Stafford & 34th St S,26445
26070,38.90293157,-76.99840486,6th & K St NE,24425
26012,38.938736,-77.087171,Ward Circle / American University,42210
25789,38.922649,-77.077271,39th & Calvert St NW / Stoddert,62666
25072,38.915604,-76.983683,New York Ave & Hecht Ave NE,24207
25029,38.94247536,-77.03267813,14th & Upshur St NW,33855
24970,38.882629,-77.109366,N Randolph St & Fairfax Dr,27207
24935,38.896923,-77.086502,N Veitch  & 20th St N,30129
24798,38.88345,-77.021741,7th & E St SW,23234
24530,38.8881,-77.09308,Clarendon Blvd & N Fillmore St,34066
24524,38.805317,-77.049883,King St & Patrick St,20799
24373,38.876737,-76.994468,Potomac Ave & 8th St SE,24057
24093,38.88432272,-77.02601016,10th St & L'Enfant Plaza SW,28588
23873,38.85725,-77.05332,18th & Eads St.,25133
23093,38.9346,-76.9955,John McCormack Dr & Michigan Ave NE,26462
22942,38.876893,-77.006072,1st & M St SE,18909
22890,38.928743,-77.012457,1st & Washington Hospital Center NW,33353
22638,38.8904,-77.0889,Wilson Blvd & Franklin Rd,31068
22591,38.89386,-77.070862,N Lynn St & Fairfax Dr,19015
22097,38.897612,-77.080851,Lee Hwy & N Scott St,25421
21560,38.89054,-77.08095,15th & N Scott St,29238
21516,38.889,-77.0925,Wilson Blvd & N Edgewood St,26749
21499,38.894474,-76.974828,Oklahoma Ave & D St NE,18513
21443,38.81074148,-77.04463273,Saint Asaph St & Pendleton  St,18222
21380,38.857866,-77.05949,Aurora Hills Community Ctr/18th & Hayes St,21984
21273,38.8995,-77.054155,Virginia Ave & 25th St NW,19332
21272,38.902674,-77.021392,7th & K St NW,20317
21119,38.876751,-77.000736,4th & M St SE,17194
21074,38.943837,-77.077078,39th & Veazey St NW,32729
20506,38.850688,-77.05152,26th & S Clark St,20662
20405,38.925284,-77.032375,14th & Girard St NW,38569
20002,38.897108,-77.011616,New Jersey Ave & F St NW,16404
19837,38.876393,-77.107735,N Quincy St & Glebe Rd,23579
19717,38.88397,-77.10783,Central Library / N Quincy St & 10th St N,22042
19135,38.84232,-77.089555,S Arlington Mill Dr & Campbell Ave,17167
19098,38.844015,-77.050537,Potomac Ave & 35th St S,16543
19029,38.80704,-77.059817,King St Metro North / Cameron St,17381
19003,38.89222,-76.99602,7th St & Massachusetts Ave NE,24326
18620,38.889365,-77.077294,Arlington Blvd & N Queen St,18073
18439,38.862753,-77.05428,Long Bridge Park/Long Bridge Dr & 6th St S,17489
18254,38.896553,-77.06714,S George Mason Dr & 13th St S,17713
17939,38.918155,-77.004746,Rhode Island Ave & V St NE,40488
17905,38.882489,-76.990121,12th St & Pennsylvania Ave SE,19052
17885,38.981103,-77.097426,Bethesda Ave & Arlington Rd,17463
17802,38.961763,-77.085998,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,19475
17798,38.892164,-77.079375,N Rhodes & 16th St N,25372
17616,38.964992,-77.103381,River Rd & Landy Ln,17925
17488,38.94113916,-77.06197724,Connecticut Ave & Tilden St NW,23225
17276,38.884734,-77.093485,Washington Blvd & 10th St N,24479
17088,38.829545,-77.047844,Potomac & Swann Ave,16301
17027,38.87887,-77.1207,George Mason Dr & Wilson Blvd,18273
16886,38.923389,-77.051833,Woodley Park Metro / Calvert St & Connecticut Ave NW,24322
16495,38.956432,-77.032947,14th St & Colorado Ave NW,25189
16375,38.928644,-76.990955,12th & Irving St NE,18084
16115,38.805648,-77.05293,Commerce St & Fayette St,14948
16101,38.884616,-77.10108,Fairfax Dr & Kenmore St,19072
15923,38.947774,-77.032818,14th St Heights / 14th & Crittenden St NW,22065
15616,38.802677,-77.063562,Ballenger Ave & Dulaney St,17357
15596,38.862669,-76.994637,Anacostia Metro,14716
15563,38.871822,-77.107906,Pershing & N George Mason Dr,17511
15363,38.883669,-77.113905,Utah St & 11th St N ,17988
15231,38.893993,-77.07857,Key Blvd & N Quinn St,19050
15143,38.927497,-76.997194,Hamlin & 7th St NE,18404
14938,38.931991,-77.032956,14th & Newton St NW,23472
14640,38.880705,-77.08596,N Pershing Dr & Wayne St,17065
14634,38.896544,-76.96012,Anacostia Ave & Benning Rd NE / River Terrace ,14195
14597,38.859254,-77.063275,S Joyce & 16th St S,15592
14534,38.977933,-77.006472,Carroll & Ethan Allen Ave,15989
14466,38.93132186,-77.02824712,11th & Park Rd NW,21904
14380,38.858971,-77.05323,Eads St & 15th St S,16596
14315,38.883921,-77.116817,Glebe Rd & 11th St N,16546
14303,38.82175,-77.047494,Potomac Greens Dr & Slaters Ln,13182
14198,38.82595,-77.058541,Mount Vernon Ave & E Del Ray Ave,11611
14147,38.893237,-77.086063,N Veitch & Key Blvd,21497
14018,38.984691,-77.094537,Bethesda Metro,21526
13901,38.894941,-77.09169,Lee Hwy & N Cleveland St,17334
13729,38.812718,-77.044097,Saint Asaph & Madison St,12514
13531,38.812351,-77.040691,Madison & Fairfax St,12192
13477,38.95655555,-77.01981425,5th & Kennedy St NW,14518
12965,38.91263,-76.971923,24th & R St NE / National Arboretum,13074
12925,38.91475111,-77.00356007,2nd St & Seaton Pl NE,16850
12769,38.884961,-77.08777,Barton St & 10th St N,15775
12631,38.867373,-76.988039,Good Hope Rd & MLK Ave SE,11745
12074,38.833077,-77.059821,Mount Vernon Ave & Kennedy St,10459
12062,38.933668,-76.991016,12th & Newton St NE,15467
11967,38.949662,-77.027333,Georgia Ave & Emerson St NW,17640
11690,38.947156,-77.065115,Connecticut Ave & Yuma St NW,12538
11521,38.820932,-77.053096,Monroe Ave & Leslie Ave,10851
11479,38.85033658,-77.10098863,Barcroft Community Center,14024
11362,38.846222,-77.069275,28th St S & S Meade St,9667
11201,38.952369,-77.002721,Fort Totten Metro,13543
11188,38.862478,-77.086599,Columbia Pike & S Walter Reed Dr,11218
10986,38.798133,-77.0487,Franklin & S Washington St,9558
10950,38.863833,-77.080319,Columbia Pike & S Courthouse Rd,13542
10800,38.867262,-77.072315,Columbia Pike & S Orme St,11321
